Title,Number,Labels,State,Comment_count,Year_Month,Date_created,Date_closed,Duration_reported_closed,Distinct_Commenter,Distinct_commenter_count,First_comment_date,Last_comment_date,Duration_first_last_comment,Duration_reported_first_comment,Duration_reported_last_comment,First_commit_date,Last_commit_date,Duration_reported_first_commit,Duration_reported_last_commit,Duration_first_last_commit,First_comment_date_commit,Last_comment_date_commit,Duration_first_last_comment_commit,Commit_mentioned,Commit_sha,Count_all_commits,Committers
thinking_in_jax.ipynb: merge problematic cells,5615,"cla: yes, pull ready",closed,0,2021-02-03,2021-02-03,2021-02-03,1,,0,,,0,0,0,2020-05-10,2022-07-26,269,538,807,,,0,6,"b3ae01d1798eae7d0ce16ad4feece8bf108eb10b, ec4bd11c82b0e00b2aa7f24ed124b2b0771077c6, e1edcd88628325933db4347d7eb0dde99abc2858, d728c9213c6893b3423725d628e3c6636be321d0, 6110be40dc66f0de9d0e3770645a7db81434910f, 6eedb20381570f8089a1ce095d1b2a76cd886f8a",6,2
Fix a _check_arraylike error.,5631,"cla: yes, pull ready",closed,0,2021-02-04,2021-02-04,2021-02-04,1,,0,,,0,0,0,2020-05-05,2023-08-16,275,923,1198,,,0,5,"0eba939a410cf0b54440bb84ab85a1f3992641ab, c4c916e2dcab7fada4ab45ae865b9df918600a73, bf1b29362a4f8e51d8141723a302f0e632a9cdb7, 079ecfbf2076f22f636f2e113c7139e396135573, 4cf85b947db57453c11247c2cf17cf286efebe56",5,3
Spurious leak checker error with custom JVP,5636,bug,closed,6,2021-02-04,2021-02-04,2021-07-29,175,"mattjj,NeilGirdhar",2,2021-02-04,2021-02-05,1,1,1,2021-08-18,2023-06-08,195,854,659,,,0,4,"0a8b05887af05a3934903c57af6d21077c8a3050, 81dc5f46d80770485c61a0111f71b149c715b6ad, cabf8b7302cf1a8656eb42a141bc2f739dc6ed1a, 4c02f2c748a498a8c18e084e6c418afc5f6ec991",4,1
Improve error reporting for complex eigh on TPU,5640,"cla: yes, better_errors, pull ready",closed,0,2021-02-04,2021-02-04,2021-02-05,1,,0,,,0,0,0,2020-10-23,2023-08-10,104,917,1021,,,0,6,"f58f1ee4563852de2853115d885c2eec7a69a77b, 10cff5f2bf8b270fefa432c6657f9ac64621e890, c9b7d751289f60a852f5e5585e3d99aff29fdaae, 290c90d37a0e112022c75f190cb518aa54b13110, 2027918cfffbf267c94754b1d6aca8e44ed04c5f, 60c3fdf683f47e6d81e79be7f1d3df0b9e09059a",6,3
jax.devices() behaves unintuitively,5638,bug,closed,4,2021-02-04,2021-02-04,2021-02-17,13,"mganahl,skye,jacksonwb",3,2021-02-04,2021-02-17,13,1,13,2021-02-09,2022-08-26,5,568,563,,,0,6,"c20aac3e921ab567ced545b73c78f9737c342eb5, 3df58b9729e3991b64cecbd25c48f101ae92e99b, 8c895fcb45806e20e06327021e2846231890b2ce, 41ecf71c874802c65c6a4a9332b43757a66c62ac, 15a379842482ec873f2857a6476b667dd778bc90, 45764ea9a8957d808125be01920719d1e8802951",6,2
Fix a bug in xmap mesh slicing code,5643,"cla: yes, pull ready",closed,0,2021-02-05,2021-02-05,2021-02-05,1,,0,,,0,0,0,2020-09-19,2023-04-17,139,801,940,,,0,4,"cfbaca0507b451305d05d5b2f482d2be605ed77a, b1466a0280bae21ddfc5c0fa68343e383a62e9e4, 46b9653e2842df926c801e0e2ce234d1dc13fdbd, 278d642161000d1d8cb4109a3e3ecfdd4c1fe527",4,2
"jax.numpy.full((2,2),[1,2]) fails",5645,bug,closed,1,2021-02-05,2021-02-05,2021-02-06,1,jakevdp,1,2021-02-05,2021-02-05,1,1,1,,,0,0,0,,,0,0,,0,0
Redundant computation in expm?,5647,"question, performance, open",closed,5,2021-02-05,2021-02-05,2022-01-21,350,"mattjj,shoyer,DanPuzzuoli,zhangqiaorjc",4,2021-02-05,2021-02-24,19,1,19,2020-10-10,2020-10-10,118,118,1,,,0,1,a97cb8700a1dd1505a259e8fd8ba55b0ffab5449,1,1
add check for __jax_array__ method before error,5660,"cla: yes, pull ready",closed,0,2021-02-06,2021-02-06,2021-02-06,1,,0,,,0,0,0,2021-02-06,2023-06-15,1,859,859,,,0,7,"0616af8e3b6e811db59c874a4509f2045021afa1, 9398dd93bee514ccb5d99b9d812f23111083394c, 98b9acd9bd8f9c9983417a36a5eaf50e863e9b94, 160a6c5229ba9a1b78431708cd52d39f08e8197b, 9c79439b0c934f3b8a6a8ea8853ccfc1358f269c, 363cc124e36e4ef9eaf365c2cdc36e7a59b66426, 6007698f4eb702cdd908beb28c6cef10eeab5b59",7,3
CPU backed failure on ARM due to XLA/LLVM (and a potential fix),5679,"bug, open",closed,14,2021-02-08,2021-02-08,2021-05-11,92,"zhangqiaorjc,d0k,girgink,hawkinsp,shawwn,tigerneil",6,2021-02-09,2022-02-15,371,1,372,2020-11-08,2023-08-14,92,917,1009,,,0,10,"3e7285b4367724076710f93e31fe14be95d1ae7b, e46700d1e3fae41f47a4fbfe8c2f1c7530f6cb9f, 112ae410fa1e2ac8b627973c037d33a5733b873a, 2f4bd118839b29bdf9aa84f8c5b351ce6d7bff71, 07c6abb69dd14cc383eed27f1260ec131ce38c37, a9275d1a256c5f8358ac2f9ed2f91d28955ccbb8, ff17d3d9fe6b675733ef2e62ca993525ab3bd9c0, 89b240ba028b833572e200dec7c9388061f25f9e, 08366b21a15e6c54bd4d4bfc344b59413aad81ab, 3b97ff2b6db5323a743c8ac7aac1ee342ca58ca3",10,3
DOC: fix minor rst formatting issues,5689,"cla: yes, pull ready",closed,0,2021-02-09,2021-02-09,2021-02-09,1,,0,,,0,0,0,2020-11-28,2023-08-14,73,916,989,,,0,7,"730e4f7e71678303dccc0cbe836adc46912bcdfb, 32de6ffc5ab066e7e4238f26d252d09e2881a807, 5b0c47e8561537216d3cd178bc0a5aa101dd63f9, 9244f3b1ba56464cb496a063cfc4d0191cfece9f, c2b15a1eb8c1afed9a05e1897eed8756f9c9b00e, 92102fbb86d98f41980098eb08d2ddb725d8b8fb, abf918443e396bc0357b8438e03c0c925bbcef38",7,4
jax.eval_shape does not understand arbitrary object dtype,5683,"bug, better_errors",closed,1,2021-02-09,2021-02-09,2021-02-10,1,mattjj,1,2021-02-09,2021-02-09,1,1,1,2021-02-09,2023-08-14,1,916,916,,,0,8,"8b4f9ad8860356042a263dd94b44864bf7966439, ec472e36b7c299f42562bf0a67243f82a87461d8, 4e6aff30ce2351409561cc64e9037816394399d7, 08cf9fd8622a94d93e7219273ef36dfc3f8ac1c0, a91fdf1e6c79a54261691e140a18391aef861bdf, a99e3e70791adfffd8715d7c35835ae43c7c0eb3, 3a40cc3ca92e3914c8dd1898214a9c892cd4c09a, 0d1174a7ca250c82d70a6452feed8538fda8a360",8,3
Spurious nans found when using jax_debug_nans.,5698,bug,closed,5,2021-02-10,2021-02-10,2021-02-17,7,"skye,MaxiLechner,hawkinsp",3,2021-02-13,2021-02-17,4,3,7,2021-02-11,2023-04-21,1,800,799,,,0,3,"7eb64945c40630fef7c34ae0e1248a9a6b247be4, 8c3371cae133e22c48eb420271ee64559358e417, 3010611101c174f613f3550320abe0ce7db55e34",3,1
